ms.zoning,lot.frontage,lot.area,street,alley,lot.shape,land.contour,lot.config,land.slope,neighborhood,condition.1,condition.2,bldg.type,house.style,overall.qual,overall.cond,year.built,year.remod.add,roof.style,roof.matl,exterior.1st,exterior.2nd,mas.vnr.type,mas.vnr.area,exter.qual,exter.cond,foundation,bsmt.qual,bsmt.cond,bsmt.exposure,bsmtfin.type.1,bsmtfin.sf.1,bsmtfin.type.2,bsmtfin.sf.2,bsmt.unf.sf,total.bsmt.sf,heating,heating.qc,central.air,electrical,x1st.flr.sf,x2nd.flr.sf,low.qual.fin.sf,gr.liv.area,bsmt.full.bath,bsmt.half.bath,full.bath,half.bath,bedroom.abvgr,kitchen.abvgr,kitchen.qual,totrms.abvgrd,functional,fireplaces,fireplace.qu,garage.type,garage.yr.blt,garage.finish,garage.cars,garage.area,garage.qual,garage.cond,paved.drive,wood.deck.sf,open.porch.sf,enclosed.porch,x3ssn.porch,screen.porch,pool.area,pool.qc,fence,misc.feature,mo.sold,yr.sold,sale.type,sale.condition,saleprice,ln.lot.frontage,ln.lot.area,house.age,yrs.since.remod,has.2nd.floor
RL,64,7980,Pave,No Alley,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0,TA,Gd,PConc,Gd,TA,No Exposure,ALQ,935,Unf,0,233,1168,GasA,Ex,Y,SB,1187,0,0,1187,1,0,2,0,3,1,TA,6,Typ,0,No Fireplace,A,1992,Fin,2,420,TA,TA,Y,483,21,0,0,0,0,No Pool,GdPrv,Feature,3,2010,Warranty Deed,Normal,185000,4.1588830833596715,8.984693690443855,18,3,0
RL,63,8402,Pave,No Alley,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No Exposure,Unf,0,Unf,0,789,789,GasA,Gd,Y,SB,789,676,0,1465,0,0,2,1,3,1,TA,7,Typ,1,Gd,A,1998,Fin,2,393,TA,TA,Y,0,75,0,0,0,0,No Pool,No Fence,No Feature,5,2010,Warranty Deed,Normal,180400,4.143134726391533,9.036225051729327,12,12,1
RL,85,10176,Pave,No Alley,Reg,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,Gd,GLQ,637,Unf,0,663,1300,GasA,Gd,Y,SB,1341,0,0,1341,1,0,1,1,2,1,Gd,5,Typ,1,Po,A,1990,Unf,2,506,TA,TA,Y,192,0,0,0,0,0,No Pool,No Fence,No Feature,2,2010,Warranty Deed,Normal,171500,4.442651256490317,9.227787285579904,20,20,0
RL,88,11394,Pave,No Alley,Reg,Lvl,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350,Gd,TA,PConc,Ex,TA,Av,GLQ,1445,Unf,0,411,1856,GasA,Ex,Y,SB,1856,0,0,1856,1,0,1,1,1,1,Ex,8,Typ,1,Ex,A,2010,Fin,3,834,TA,TA,Y,113,0,0,0,0,0,No Pool,No Fence,No Feature,6,2010,New,Normal,394432,4.477336814478207,9.34084218004034,0,0,0
RL,140,19138,Pave,No Alley,Reg,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No Exposure,LwQ,120,Unf,0,744,864,GasA,Ex,Y,SB,864,0,0,864,0,0,1,0,2,1,TA,4,Typ,0,No Fireplace,D,1951,Unf,2,400,TA,TA,Y,0,0,0,0,0,0,No Pool,No Fence,No Feature,6,2010,Warranty Deed,Normal,141000,4.941642422609304,9.859431166339208,59,59,0
RL,85,13175,Pave,No Alley,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119,TA,TA,CBlock,Gd,TA,No Exposure,ALQ,790,Rec,163,589,1542,GasA,TA,Y,SB,2073,0,0,2073,1,0,2,0,3,1,TA,7,Min1,2,TA,A,1978,Unf,2,500,TA,TA,Y,349,0,0,0,0,0,No Pool,MnPrv,No Feature,2,2010,Warranty Deed,Normal,210000,4.442651256490317,9.486076373409563,32,22,0
RL,105,11751,Pave,No Alley,IR1,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480,TA,TA,CBlock,Gd,TA,No Exposure,BLQ,705,Unf,0,1139,1844,GasA,Ex,Y,SB,1844,0,0,1844,0,0,2,0,3,1,TA,7,Typ,1,TA,A,1977,RFn,2,546,TA,TA,Y,0,122,0,0,0,0,No Pool,MnPrv,No Feature,1,2010,Other,Normal,190000,4.653960350157523,9.371693622333941,33,33,0
RL,85,10625,Pave,No Alley,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81,TA,TA,CBlock,Gd,TA,Gd,GLQ,885,LwQ,168,0,1053,GasA,TA,Y,SB,1173,0,0,1173,1,0,2,0,3,1,Gd,6,Typ,2,TA,A,1974,RFn,2,528,TA,TA,Y,0,120,0,0,0,0,No Pool,MnPrv,No Feature,1,2010,Warranty Deed,Not Normal,170000,4.442651256490317,9.270964993792617,36,36,0
FV,72.5,7500,Pave,No Alley,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No Exposure,GLQ,533,Unf,0,281,814,GasA,Ex,Y,SB,814,860,0,1674,1,0,2,1,3,1,Gd,7,Typ,0,No Fireplace,A,2000,RFn,2,663,TA,TA,Y,0,96,0,0,0,0,No Pool,No Fence,No Feature,1,2010,Warranty Deed,Normal,216000,4.283586561860629,8.922658299524402,10,10,1
RL,73,11241,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,TA,TA,CBlock,TA,TA,No Exposure,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SB,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,A,1970,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,No Pool,No Fence,Feature,3,2010,Warranty Deed,Normal,149000,4.290459441148391,9.327323087461798,40,40,0
RL,73,12537,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No Exposure,GLQ,734,Unf,0,344,1078,GasA,Ex,Y,SB,1078,0,0,1078,1,0,1,1,3,1,TA,6,Typ,1,Fa,A,1971,Fin,2,500,TA,TA,Y,0,0,0,0,0,0,No Pool,No Fence,No Feature,4,2010,Warranty Deed,Normal,149900,4.290459441148391,9.436439551116026,39,2,0
RL,65,8450,Pave,No Alley,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No Exposure,BLQ,775,Unf,0,281,1056,GasA,Ex,Y,SB,1056,0,0,1056,1,0,1,0,3,1,TA,6,Typ,1,Fa,A,1968,Unf,1,304,TA,TA,Y,0,85,184,0,0,0,No Pool,No Fence,No Feature,7,2010,Warranty Deed,Normal,142000,4.174387269895637,9.041921720351219,42,42,0
RL,70,8400,Pave,No Alley,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,No Exposure,ALQ,804,Rec,78,0,882,GasA,TA,Y,SB,882,0,0,882,1,0,1,0,2,1,TA,4,Typ,0,No Fireplace,A,1970,Fin,2,525,TA,TA,Y,240,0,0,0,0,0,No Pool,MnPrv,No Feature,4,2010,Warranty Deed,Normal,126000,4.248495242049359,9.035986984831405,40,40,0
RL,70,10500,Pave,No Alley,Reg,Lvl,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No Exposure,ALQ,432,Unf,0,432,864,GasA,TA,Y,SB,864,0,0,864,0,0,1,0,3,1,TA,5,Typ,1,Po,None,0,None,0,0,None,None,Y,0,0,0,0,0,0,No Pool,No Fence,No Feature,4,2010,Other,Normal,115000,4.248495242049359,9.259130536145614,39,39,0
RH,26,5858,Pave,No Alley,IR1,Lvl,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,TA,PConc,Gd,TA,No Exposure,GLQ,1051,BLQ,0,354,1405,GasA,Ex,Y,SB,1337,0,0,1337,1,0,2,0,2,1,Gd,5,Typ,1,Fa,A,1999,Fin,2,511,TA,TA,Y,203,68,0,0,0,0,No Pool,No Fence,No Feature,6,2010,Warranty Deed,Normal,184000,3.258096538021482,8.675563527387679,11,11,0
RM,21,1680,Pave,No Alley,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492,TA,TA,CBlock,TA,TA,No Exposure,Rec,300,Unf,0,225,525,GasA,TA,Y,SB,525,567,0,1092,0,0,1,1,3,1,TA,6,Typ,0,No Fireplace,D,1997,Unf,1,320,TA,TA,Y,0,0,0,0,0,0,No Pool,No Fence,No Feature,3,2010,Warranty Deed,Normal,105500,3.044522437723423,7.426549072397305,39,39,1
RM,21,1680,Pave,No Alley,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381,TA,TA,CBlock,TA,TA,No Exposure,Unf,0,Unf,0,525,525,GasA,TA,Y,SB,525,567,0,1092,0,0,1,1,3,1,TA,6,Typ,0,No Fireplace,D,1971,Unf,1,264,TA,TA,Y,0,0,0,0,0,0,No Pool,No Fence,No Feature,3,2010,Warranty Deed,Not Normal,88000,3.044522437723423,7.426549072397305,39,39,1
RL,24,2280,Pave,No Alley,Reg,Lvl,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,TA,TA,CBlock,TA,TA,No Exposure,ALQ,514,Unf,0,341,855,GasA,TA,Y,SB,855,601,0,1456,0,0,2,1,3,1,Gd,6,Typ,1,TA,A,1975,Unf,2,440,TA,TA,Y,173,0,0,0,0,0,No Pool,No Fence,No Feature,6,2010,Warranty Deed,Normal,149900,3.1780538303479458,7.731930721948486,35,35,1
RL,24,2280,Pave,No Alley,Reg,Lvl,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,TA,TA,CBlock,Gd,TA,No Exposure,Unf,0,Unf,0,836,836,GasA,Ex,Y,SB,836,0,0,836,0,0,1,0,2,1,TA,4,Typ,0,No Fireplace,A,1975,Unf,1,308,TA,TA,Y,0,30,0,0,0,0,No Pool,No Fence,No Feature,6,2010,Warranty Deed,Normal,120000,3.1780538303479458,7.731930721948486,35,35,0
RL,24,2280,Pave,No Alley,Reg,Lvl,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,None,0,TA,TA,CBlock,Gd,TA,No Exposure,ALQ,311,Unf,0,544,855,GasA,Fa,Y,SB,855,601,0,1456,0,0,2,1,3,1,TA,7,Typ,1,TA,A,1978,Unf,2,440,TA,TA,Y,26,0,0,0,0,0,No Pool,No Fence,No Feature,7,2010,Warranty Deed,Normal,146000,3.1780538303479458,7.731930721948486,32,32,1
RL,102,12858,Pave,No Alley,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162,Ex,TA,PConc,Ex,TA,No Exposure,Unf,0,Unf,0,1590,1590,GasA,Ex,Y,SB,1627,707,0,2334,0,0,2,1,3,1,Ex,10,Typ,1,Gd,A,2009,Fin,3,751,TA,TA,Y,144,133,0,0,0,0,No Pool,No Fence,No Feature,1,2010,New,Normal,376162,4.624972813284271,9.461721464701633,1,0,1
RL,98,11478,Pave,No Alley,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200,Gd,TA,PConc,Ex,TA,No Exposure,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SB,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,A,2008,RFn,3,772,TA,TA,Y,0,50,0,0,0,0,No Pool,No Fence,No Feature,5,2010,Warranty Deed,Normal,306000,4.584967478670572,9.348187438668308,3,2,0
RL,83,10159,Pave,No Alley,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,450,Ex,TA,PConc,Ex,TA,Av,GLQ,1646,Unf,0,284,1930,GasA,Ex,Y,SB,1940,0,0,1940,1,0,2,1,3,1,Ex,8,Typ,1,Gd,A,2010,Fin,3,606,TA,TA,Y,168,95,0,0,0,0,No Pool,No Fence,No Feature,4,2010,New,Normal,395192,4.418840607796598,9.226115291091546,1,0,0
RL,94,12883,Pave,No Alley,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256,Gd,TA,PConc,Gd,TA,No Exposure,Unf,0,Unf,0,1544,1544,GasA,Ex,Y,SB,1544,0,0,1544,0,0,2,0,3,1,Gd,7,Typ,0,No Fireplace,A,2009,RFn,3,868,TA,TA,Y,0,35,0,0,0,0,No Pool,No Fence,No Feature,6,2010,New,Normal,290941,4.543294782270004,9.463663891791525,1,0,0
RL,95,12182,Pave,No Alley,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226,Gd,TA,PConc,Gd,TA,Mn,BLQ,1201,Unf,0,340,1541,GasA,Ex,Y,SB,1541,0,0,1541,0,0,2,0,3,1,Gd,7,Typ,1,Gd,A,2005,RFn,2,532,TA,TA,Y,0,70,0,0,0,0,No Pool,No Fence,No Feature,5,2010,New,Normal,220000,4.553876891600541,9.40771473139643,5,5,0
RL,90,11520,Pave,No Alley,Reg,Lvl,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615,Gd,TA,PConc,Ex,TA,No Exposure,GLQ,110,Unf,0,1588,1698,GasA,Ex,Y,SB,1698,0,0,1698,0,0,2,0,3,1,Ex,7,Typ,1,Gd,A,2005,Fin,3,730,TA,TA,Y,192,74,0,0,0,0,No Pool,No Fence,No Feature,6,2010,Warranty Deed,Normal,275000,4.499809670330265,9.351839934249883,5,5,0
RL,79,14122,Pave,No Alley,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240,Gd,TA,PConc,Ex,TA,No Exposure,GLQ,28,Unf,0,1794,1822,GasA,Ex,Y,SB,1822,0,0,1822,0,0,2,0,3,1,Ex,8,Typ,1,Gd,A,2005,RFn,3,678,TA,TA,Y,0,119,0,0,0,0,No Pool,No Fence,No Feature,2,2010,Warranty Deed,Normal,259000,4.3694478524670215,9.555489144076292,5,4,0
RL,70,10171,Pave,No Alley,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,168,Gd,TA,PConc,Gd,TA,No Exposure,GLQ,2,Unf,0,1515,1517,GasA,Ex,Y,SB,1535,0,0,1535,0,0,2,0,3,1,Gd,7,Typ,0,No Fireplace,A,2004,RFn,2,532,TA,TA,Y,0,0,0,0,0,0,No Pool,No Fence,No Feature,3,2010,Warranty Deed,Normal,214000,4.248495242049359,9.227295812625597,6,6,0
RL,105,13650,Pave,No Alley,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232,Gd,TA,PConc,Gd,TA,Gd,GLQ,578,Unf,0,1093,1671,GasA,Ex,Y,SB,1687,563,0,2250,1,0,2,1,3,1,Gd,7,Typ,1,Ex,A,2002,Fin,3,756,TA,TA,Y,238,130,0,0,0,0,No Pool,No Fence,No Feature,6,2010,Warranty Deed,Normal,320000,4.653960350157523,9.521494800613105,8,8,1
RL,61,7658,Pave,No Alley,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412,Ex,TA,PConc,Ex,TA,No Exposure,GLQ,456,Unf,0,1296,1752,GasA,Ex,Y,SB,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,Gd,A,2005,RFn,2,576,TA,TA,Y,196,82,0,0,0,0,No Pool,No Fence,No Feature,2,2010,Warranty Deed,Normal,319900,4.110873864173311,8.943506132037239,5,5,0
RL,41,7132,Pave,No Alley,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178,Gd,TA,PConc,Gd,TA,Mn,GLQ,24,Unf,0,1346,1370,GasA,Ex,Y,SB,1370,0,0,1370,0,0,2,0,2,1,Gd,6,Typ,1,Gd,A,2006,RFn,2,484,TA,TA,Y,120,49,0,0,0,0,No Pool,No Fence,No Feature,4,2010,Warranty Deed,Normal,205000,3.713572066704308,8.872346978983032,4,4,0
RL,43,3203,Pave,No Alley,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14,Gd,TA,PConc,Gd,TA,Av,GLQ,16,Unf,0,1129,1145,GasA,Ex,Y,SB,1145,0,0,1145,0,0,2,0,2,1,Gd,6,Typ,0,No Fireplace,A,2006,Fin,2,437,TA,TA,Y,100,116,0,0,0,0,No Pool,No Fence,No Feature,1,2010,Warranty Deed,Normal,160000,3.7612001156935624,8.071843149609158,4,4,0
RL,43,3182,Pave,No Alley,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,16,Gd,TA,PConc,Gd,TA,No Exposure,GLQ,24,Unf,0,1232,1256,GasA,Ex,Y,SB,1269,0,0,1269,0,0,2,0,2,1,Gd,6,Typ,1,TA,A,2004,Fin,2,430,TA,TA,Y,146,20,0,0,144,0,No Pool,No Fence,No Feature,4,2010,Warranty Deed,Normal,192000,3.7612001156935624,8.065265208897733,6,5,0
RL,67,13300,Pave,No Alley,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No Exposure,GLQ,326,Unf,0,58,384,GasA,Ex,Y,SB,744,630,0,1374,1,0,2,1,3,1,Gd,7,Typ,1,Gd,BI,2004,Fin,2,400,TA,TA,Y,100,0,0,0,0,0,No Pool,No Fence,No Feature,6,2010,Warranty Deed,Normal,184500,4.204692619390966,9.495519314209846,6,6,1
RL,63,8577,Pave,No Alley,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No Exposure,Unf,0,Unf,0,847,847,GasA,Ex,Y,SB,847,886,0,1733,0,0,2,1,3,1,Gd,7,Typ,1,Gd,BI,2004,Fin,2,433,TA,TA,Y,144,48,0,0,0,0,No Pool,No Fence,No Feature,4,2010,Warranty Deed,Normal,185088,4.143134726391533,9.056839480990421,6,6,1
RL,64,9505,Pave,No Alley,IR1,Lvl,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,180,Gd,TA,PConc,Gd,TA,No Exposure,Unf,0,Unf,0,884,884,GasA,Ex,Y,SB,884,1151,0,2035,0,0,2,1,3,1,Gd,8,Typ,1,Gd,BI,2001,Fin,2,434,TA,TA,Y,144,48,0,0,0,0,No Pool,No Fence,No Feature,5,2010,Warranty Deed,Normal,222500,4.1588830833596715,9.15957325492253,9,9,1
